"Invoice Date","Invoice ID","Invoice Type","Sale Mode","Qty Sold","Sold Price"
01/02/2025,250232,Invoice,Sale,1,$14.99
01/02/2025,250232,Invoice,Sale,2,$6.39
01/02/2025,250232,Invoice,Sale,1,$5.99
01/02/2025,250232,Invoice,Sale,50,$0.99
01/02/2025,250232,Invoice,,0,$0.00
01/02/2025,250232,Invoice,Sale,2,$7.99
01/02/2025,250232,Invoice,,0,$0.00
01/02/2025,250233,Invoice,Sale,1,$7.99
01/02/2025,250234,Invoice,Return,-1,$10.99
01/02/2025,250234,Invoice,Sale,1,$3.99
01/02/2025,250234,Invoice,Sale,2,$13.69
01/02/2025,250234,Invoice,Sale,1,$29.99
01/02/2025,250234,Invoice,Sale,1,$24.98
01/02/2025,250234,Invoice,Sale,1,$186.00
01/02/2025,250234,Invoice,,0,$0.00
01/02/2025,250236,Invoice,Sale,2,$5.09
01/02/2025,250236,Invoice,Sale,5,$3.16
01/02/2025,250236,Invoice,Sale,1,$5.99
01/02/2025,250236,Invoice,Sale,1,$1.72
01/02/2025,250236,Invoice,Sale,1,$5.99
01/02/2025,250236,Invoice,Sale,2,$1.87
01/02/2025,250236,Invoice,Sale,2,$5.59
01/02/2025,250236,Invoice,Sale,1,$22.99
01/02/2025,250236,Invoice,Sale,4,$6.99
01/02/2025,250236,Invoice,Sale,40,$3.53
01/02/2025,250236,Invoice,Sale,1,$233.00
01/02/2025,250236,Invoice,,0,$0.00
01/02/2025,250236,Invoice,Sale,2,$1.34
01/02/2025,250236,Invoice,Sale,10,$74.99
01/02/2025,250236,Invoice,Sale,1,$13.99
01/02/2025,250235,Invoice,Sale,50,$4.72
01/02/2025,250235,Invoice,Sale,20,$9.44
01/02/2025,250235,Invoice,Sale,1,$200.00
01/02/2025,250235,Invoice,,0,$0.00
01/02/2025,250235,Invoice,,0,$0.00
01/02/2025,250235,Invoice,Sale,1,$8.99
01/02/2025,250235,Invoice,Sale,1,$6.89
01/02/2025,250235,Invoice,,0,$0.00
01/02/2025,250235,Invoice,Sale,1,$6.89
01/02/2025,250235,Invoice,,0,$0.00
01/02/2025,250235,Invoice,Sale,1,$18.99
01/02/2025,250235,Invoice,Sale,1,$9.99
01/02/2025,250235,Invoice,Sale,1,$9.99
01/02/2025,250235,Invoice,Sale,2,$2.59
01/02/2025,250235,Invoice,Sale,15,$0.89
01/02/2025,250235,Invoice,Sale,1,$2.98
01/02/2025,250235,Invoice,Sale,1,$1.97
01/02/2025,250235,Invoice,Sale,1,$1.35
01/02/2025,250235,Invoice,Sale,1,$1.47
01/02/2025,250235,Invoice,Sale,2,$4.39
01/02/2025,250235,Invoice,Sale,1,$0.88
01/02/2025,250235,Invoice,Sale,14,$2.56
01/02/2025,250235,Invoice,Sale,1,$0.88
01/02/2025,250235,Invoice,Sale,1,$31.99
01/02/2025,250235,Invoice,,0,$0.00
01/02/2025,250237,Invoice,Sale,1,$61.11
01/02/2025,250239,Layaway,Sale,1,$109.00
01/02/2025,250239,Layaway,Sale,35,$20.99
01/02/2025,250239,Layaway,Sale,10,$13.69
01/02/2025,250239,Layaway,Sale,2,$24.98
01/02/2025,250239,Layaway,,0,$0.00
01/02/2025,250239,Layaway,Sale,5,$28.60
01/02/2025,250239,Layaway,Sale,28,$0.99
01/02/2025,250239,Layaway,,0,$0.00
01/02/2025,250239,Layaway,Sale,6,$2.93
01/02/2025,250241,Invoice,Sale,2,$18.42
01/02/2025,250240,Invoice,Sale,6,$74.99
01/02/2025,250240,Invoice,,0,$0.00
01/02/2025,250238,Invoice,Sale,5,$3.89
01/02/2025,250238,Invoice,Sale,8,$1.99
01/02/2025,250242,Invoice,Sale,1,$45.99
01/02/2025,250243,Invoice,Sale,1,$75.00
01/02/2025,250243,Invoice,Sale,1,$15.99
01/02/2025,250243,Invoice,,0,$0.00
01/02/2025,250244,Invoice,Sale,1,$18.99
01/02/2025,250245,Invoice,Sale,1,$39.00
01/02/2025,250246,Invoice,Sale,2,$5.99
01/02/2025,250246,Invoice,Sale,2,$9.99
01/02/2025,250246,Invoice,Sale,2,$5.99
01/02/2025,250246,Invoice,Sale,3,$3.07
01/02/2025,250246,Invoice,Sale,3,$2.17
01/02/2025,250247,Invoice,Sale,1,$34.99
01/02/2025,250248,Invoice,Sale,5,$1.47
01/02/2025,250248,Invoice,Sale,1,$0.77
01/02/2025,250248,Invoice,Sale,1,$0.97
01/02/2025,250248,Invoice,Sale,12,$3.53
01/02/2025,250248,Invoice,Sale,6,$2.93
01/02/2025,250251,Invoice,Sale,1,$26.99
01/02/2025,250250,Invoice,Sale,1,$18.99
01/02/2025,250250,Invoice,Sale,2,$0.99
01/02/2025,250250,Invoice,Sale,3,$5.84
01/02/2025,250249,Invoice,Sale,105,$0.99
01/02/2025,250249,Invoice,,0,$0.00
01/02/2025,250249,Invoice,Sale,15,$2.93
01/02/2025,250249,Invoice,Sale,10,$3.53
01/02/2025,250249,Invoice,Sale,6,$7.99
01/02/2025,250249,Invoice,,0,$0.00
01/02/2025,250252,Invoice,Sale,4,$1.35
01/02/2025,250252,Invoice,Sale,1,$1.47
01/02/2025,250252,Invoice,Sale,2,$8.95
01/02/2025,250252,Invoice,,0,$0.00
01/02/2025,250252,Invoice,Sale,4,$3.58
01/02/2025,250252,Invoice,Sale,1,$34.88
01/02/2025,250252,Invoice,Sale,1,$8.99
01/02/2025,250252,Invoice,Sale,20,$10.99
01/02/2025,250252,Invoice,Sale,1,$49.99
01/02/2025,250252,Invoice,Sale,12,$4.25
01/02/2025,250252,Invoice,,0,$0.00
01/02/2025,250252,Invoice,Sale,12,$8.99
01/02/2025,250252,Invoice,,0,$0.00
01/02/2025,250252,Invoice,Sale,25,$3.99
01/02/2025,250252,Invoice,Sale,25,$3.99
01/02/2025,250252,Invoice,Sale,1,$65.99
01/02/2025,250252,Invoice,Sale,1,$13.59
01/02/2025,250252,Invoice,,0,$0.00
01/02/2025,250252,Invoice,,0,$0.00
01/02/2025,250252,Invoice,Sale,13,$23.99
01/02/2025,250252,Invoice,Sale,2,$186.00
01/02/2025,250252,Invoice,Sale,5,$28.60
01/02/2025,250252,Invoice,Sale,20,$3.53
01/02/2025,250252,Invoice,Sale,8,$13.69
01/02/2025,250252,Invoice,Sale,1,$4.49
01/02/2025,250253,Invoice,Sale,1,$1.38
01/02/2025,250253,Invoice,Sale,84,$0.99
01/02/2025,250253,Invoice,,0,$0.00
01/02/2025,250253,Invoice,,0,$0.00
01/02/2025,250254,Invoice,Sale,1,$60.00
01/02/2025,250254,Invoice,Sale,2,$24.99
